County ,Quarter,Year,Count,Median Price
Washington,Q3,2015,194,183600
Wicomico,Q3,2015,134,170500
Worcester,Q3,2015,80,220000
Allegany,Q4,2015,81,110400
Anne Arundel,Q4,2015,1703,342000
Baltimore City,Q4,2015,1316,185000
Baltimore,Q4,2015,1954,245000
Calvert,Q4,2015,190,324978
Caroline,Q4,2015,58,180000
Carroll,Q4,2015,505,304900
Cecil,Q4,2015,138,236900
Charles,Q4,2015,404,299000
Dorchester,Q4,2015,38,157500
Frederick,Q4,2015,713,305000
Garrett,Q4,2015,12,175000
Harford,Q4,2015,627,275000
Howard,Q4,2015,917,434900
Kent,Q4,2015,27,190000
Montgomery,Q4,2015,1782,442750
Prince George's,Q4,2015,1185,281210
Queen Anne's,Q4,2015,146,309450
St. Mary's,Q4,2015,262,270000
Somerset,Q4,2015,14,142500
Talbot,Q4,2015,86,280250
Washington,Q4,2015,296,196375
Wicomico,Q4,2015,175,168000
Worcester,Q4,2015,131,233800
Allegany,Q1,2016,108,121525
Anne Arundel,Q1,2016,2172,337245
Baltimore City,Q1,2016,945,215000
Baltimore,Q1,2016,2098,240000
Calvert,Q1,2016,225,338200
Caroline,Q1,2016,48,196950
Carroll,Q1,2016,557,320000
Cecil,Q1,2016,223,235000
Charles,Q1,2016,636,310000
Dorchester,Q1,2016,45,310000
Frederick,Q1,2016,945,318000
Garrett,Q1,2016,20,149000
Harford,Q1,2016,863,285000
Howard,Q1,2016,1214,459000
Kent,Q1,2016,25,250000
Montgomery,Q1,2016,3187,438000
Prince George's,Q1,2016,2003,280000
Queen Anne's,Q1,2016,212,315000
St. Mary's,Q1,2016,317,289900
Somerset,Q1,2016,20,135000
Talbot,Q1,2016,92,311500
Washington,Q1,2016,307,208000
Wicomico,Q1,2016,220,165750
Worcester,Q1,2016,114,225000
Allegany,Q2,2016,70,112950
Anne Arundel,Q2,2016,1739,337500
Baltimore City,Q2,2016,724,179950
Baltimore,Q2,2016,1836,179950
Calvert,Q2,2016,194,327873
Caroline,Q2,2016,48,196423
Carroll,Q2,2016,435,313000
Cecil,Q2,2016,169,239900
Charles,Q2,2016,523,310990
Dorchester,Q2,2016,37,206000
Frederick,Q2,2016,828,316000
Garrett,Q2,2016,35,145000
Harford,Q2,2016,667,271000
Howard,Q2,2016,923,431805
Kent,Q2,2016,24,264950
Montgomery,Q2,2016,2526,425000
Prince George's,Q2,2016,1854,290000
Queen Anne's,Q2,2016,142,309450
St. Mary's,Q2,2016,281,299900
Somerset,Q2,2016,16,129950
Talbot,Q2,2016,98,326000
Washington,Q2,2016,273,192500
Wicomico,Q2,2016,163,161000
Worcester,Q2,2016,110,210000
Allegany,Q3,2016,61,99000
Anne Arundel,Q3,2016,1289,325000
Baltimore City,Q3,2016,748,177376
Baltimore,Q3,2016,1557,235000
Calvert,Q3,2016,161,334000
Caroline,Q3,2016,41,165000
Carroll,Q3,2016,370,315000
Cecil,Q3,2016,143,230000
Charles,Q3,2016,424,315715
Dorchester,Q3,2016,39,155000
Frederick,Q3,2016,640,307540
Garrett,Q3,2016,24,135000
Harford,Q3,2016,497,267000
Howard,Q3,2016,691,421000
Kent,Q3,2016,13,260279
Montgomery,Q3,2016,1915,415000
Prince George's,Q3,2016,1365,285000
Queen Anne's,Q3,2016,95,350000
St. Mary's,Q3,2016,201,295000
Somerset,Q3,2016,18,166500
Talbot,Q3,2016,80,284950
Washington,Q3,2016,196,210500
Wicomico,Q3,2016,145,156500
Worcester,Q3,2016,72,191750
Allegany,Q4,2016,98,100450
Anne Arundel,Q4,2016,1856,349945
Baltimore City,Q4,2016,1202,202250
Baltimore,Q4,2016,2213,249000
Calvert,Q4,2016,243,333683
Caroline,Q4,2016,67,199900
Carroll,Q4,2016,634,323000
Cecil,Q4,2016,228,218500
Charles,Q4,2016,502,320000
Dorchester,Q4,2016,41,134900
Frederick,Q4,2016,995,305000
Garrett,Q4,2016,41,150000
Harford,Q4,2016,801,279000
Howard,Q4,2016,1117,429900
Kent,Q4,2016,36,225350
Montgomery,Q4,2016,2666,447087
Prince George's,Q4,2016,1629,295000
Queen Anne's,Q4,2016,173,350000
St. Mary's,Q4,2016,328,295500
Somerset,Q4,2016,25,100000
Talbot,Q4,2016,104,284750
Washington,Q4,2016,376,198800
Wicomico,Q4,2016,217,175000
Worcester,Q4,2016,164,228250
Allegany,Q1,2017,97,129500
Anne Arundel,Q1,2017,2385,343790
Baltimore City,Q1,2017,978,239000
Baltimore,Q1,2017,2192,249900
Calvert,Q1,2017,305,320000
Caroline,Q1,2017,58,180500
Carroll,Q1,2017,660,316250
Cecil,Q1,2017,242,228000
Charles,Q1,2017,629,300140
Dorchester,Q1,2017,71,180000
Frederick,Q1,2017,1116,322000
Garrett,Q1,2017,42,136750
Harford,Q1,2017,1002,287700
Howard,Q1,2017,1290,442775
Kent,Q1,2017,34,200500
Montgomery,Q1,2017,3043,439900
Prince George's,Q1,2017,2054,308100
Queen Anne's,Q1,2017,174,319000
St. Mary's,Q1,2017,306,302030
Somerset,Q1,2017,18,114500
Talbot,Q1,2017,119,302000
Washington,Q1,2017,333,218000
Wicomico,Q1,2017,243,170000
Worcester,Q1,2017,134,245000
Allegany,Q2,2017,83,116500
Anne Arundel,Q2,2017,2014,340000
Baltimore City,Q2,2017,751,215000
Baltimore,Q2,2017,2034,240000
Calvert,Q2,2017,185,328500
Caroline,Q2,2017,59,191000
Carroll,Q2,2017,509,322500
Cecil,Q2,2017,204,226000
Charles,Q2,2017,595,320000
Dorchester,Q2,2017,64,165250
Frederick,Q2,2017,945,310000
Garrett,Q2,2017,36,146500
Harford,Q2,2017,791,288210
Howard,Q2,2017,1086,425000
Kent,Q2,2017,28,213250
Montgomery,Q2,2017,2641,435000
Prince George's,Q2,2017,2147,300000
Queen Anne's,Q2,2017,145,330000
St. Mary's,Q2,2017,279,313500
Somerset,Q2,2017,20,157450
Talbot,Q2,2017,87,300000
Washington,Q2,2017,298,221446
Wicomico,Q2,2017,201,163500
Worcester,Q2,2017,135,230000
Allegany,Q3,2017,61,98000
Anne Arundel,Q3,2017,1662,324950
Baltimore City,Q3,2017,819,206400
Baltimore,Q3,2017,1665,240000
Calvert,Q3,2017,200,309750
Caroline,Q3,2017,52,183000
Carroll,Q3,2017,359,315000
Cecil,Q3,2017,171,240000
Charles,Q3,2017,462,311183
Dorchester,Q3,2017,42,160500
Frederick,Q3,2017,837,315970
Garrett,Q3,2017,25,149000
Harford,Q3,2017,607,269000
Howard,Q3,2017,855,425000
Kent,Q3,2017,33,196500
Montgomery,Q3,2017,2173,430000
Prince George's,Q3,2017,1728,297250
Queen Anne's,Q3,2017,118,315000
St. Mary's,Q3,2017,195,286000
Somerset,Q3,2017,22,123750
Talbot,Q3,2017,95,299000
Washington,Q3,2017,234,213500
Wicomico,Q3,2017,182,165050
Worcester,Q3,2017,121,231000
Allegany,Q4,2017,109,109900
Anne Arundel,Q4,2017,2320,359995
Baltimore City,Q4,2017,1296,204500
Baltimore,Q4,2017,2463,264565
Calvert,Q4,2017,325,322500
Caroline,Q4,2017,69,225000
Carroll,Q4,2017,661,324900
Cecil,Q4,2017,280,229900
Charles,Q4,2017,597,315000
Dorchester,Q4,2017,66,168500
Frederick,Q4,2017,1209,326500
Garrett,Q4,2017,45,175000
Harford,Q4,2017,1019,280000
Howard,Q4,2017,1328,444880
Kent,Q4,2017,38,239000
Montgomery,Q4,2017,3264,479000
Prince George's,Q4,2017,1975,308000
Queen Anne's,Q4,2017,223,345000
St. Mary's,Q4,2017,392,295000
Somerset,Q4,2017,30,139000
Talbot,Q4,2017,135,304500
Washington,Q4,2017,389,215000
Wicomico,Q4,2017,287,169400
Worcester,Q4,2017,210,239500
Allegany,Q1,2018,93,125000
Anne Arundel,Q1,2018,2404,345000
Baltimore City,Q1,2018,1360,190500
Baltimore,Q1,2018,2301,265000
Calvert,Q1,2018,350,366950
Caroline,Q1,2018,85,195000
Carroll,Q1,2018,615,326000
Cecil,Q1,2018,284,235000
Charles,Q1,2018,727,323990
Dorchester,Q1,2018,66,154950
Frederick,Q1,2018,1161,322000
Garrett,Q1,2018,35,156700
Harford,Q1,2018,938,280500
Howard,Q1,2018,1369,445000
Kent,Q1,2018,47,225000
Montgomery,Q1,2018,2998,445000
Prince George's,Q1,2018,2440,318000
Queen Anne's,Q1,2018,198,349450
St. Mary's,Q1,2018,369,299900
Somerset,Q1,2018,23,112500
Talbot,Q1,2018,130,310000
Washington,Q1,2018,444,206500
Wicomico,Q1,2018,261,172000
Worcester,Q1,2018,170,249950
Allegany,Q2,2018,94,108700
Anne Arundel,Q2,2018,2144,349945
Baltimore City,Q2,2018,1069,190000
Baltimore,Q2,2018,2060,260000
Calvert,Q2,2018,353,350000
Caroline,Q2,2018,80,213450
Carroll,Q2,2018,479,330900
Cecil,Q2,2018,239,240000
Charles,Q2,2018,633,319900
Dorchester,Q2,2018,61,165000
Frederick,Q2,2018,1036,332422
Garrett,Q2,2018,52,154900
Harford,Q2,2018,887,281335
Howard,Q2,2018,913,435000
Kent,Q2,2018,40,247500
Montgomery,Q2,2018,2648,430000
Prince George's,Q2,2018,2278,319362
Queen Anne's,Q2,2018,176,341550
St. Mary's,Q2,2018,329,289000
Somerset,Q2,2018,28,129500
Talbot,Q2,2018,106,308000
Washington,Q2,2018,337,203532
Wicomico,Q2,2018,177,174900
Worcester,Q2,2018,164,230000
Allegany,Q3,2018,57,100000
Anne Arundel,Q3,2018,1603,340000
Baltimore City,Q3,2018,979,170000
Baltimore,Q3,2018,1593,258696
Calvert,Q3,2018,210,350500
Caroline,Q3,2018,44,186000
Carroll,Q3,2018,365,330000
Cecil,Q3,2018,173,223000
Charles,Q3,2018,487,326079
Dorchester,Q3,2018,67,179500
Frederick,Q3,2018,836,331119
Garrett,Q3,2018,32,156000
Harford,Q3,2018,716,275370
Howard,Q3,2018,739,425000
Kent,Q3,2018,23,215000
Montgomery,Q3,2018,2002,435000
Prince George's,Q3,2018,1739,312500
Queen Anne's,Q3,2018,109,365000
St. Mary's,Q3,2018,262,289900
Somerset,Q3,2018,15,99900
Talbot,Q3,2018,104,298750
Washington,Q3,2018,276,213450
Wicomico,Q3,2018,168,165000
Worcester,Q3,2018,97,275000
Allegany,Q4,2018,85,112000
Anne Arundel,Q4,2018,2565,360000
Baltimore City,Q4,2018,1580,203000
Baltimore,Q4,2018,2516,265000
Calvert,Q4,2018,357,329900
Caroline,Q4,2018,87,202000
Carroll,Q4,2018,646,335000
Cecil,Q4,2018,319,244900
Charles,Q4,2018,679,325000
Dorchester,Q4,2018,77,177000
Frederick,Q4,2018,1385,348500
Garrett,Q4,2018,40,174500
Harford,Q4,2018,1134,285950
Howard,Q4,2018,1295,472000
Kent,Q4,2018,48,227500
Montgomery,Q4,2018,3467,481468
Prince George's,Q4,2018,2309,322500
Queen Anne's,Q4,2018,214,349500
St. Mary's,Q4,2018,380,290000
Somerset,Q4,2018,35,139900
Talbot,Q4,2018,120,316250
Washington,Q4,2018,454,208900
Wicomico,Q4,2018,258,178000
Worcester,Q4,2018,176,247250
Allegany,Q1,2019,105,125000
Anne Arundel,Q1,2019,2482,358000
Baltimore City,Q1,2019,1327,197000
Baltimore,Q1,2019,2445,270000
Calvert,Q1,2019,350,340000
Caroline,Q1,2019,83,212000
Carroll,Q1,2019,652,337000
Cecil,Q1,2019,301,250000
Charles,Q1,2019,696,325000
Dorchester,Q1,2019,83,180000
Frederick,Q1,2019,1271,351023
Garrett,Q1,2019,48,166000
Harford,Q1,2019,1051,289900
Howard,Q1,2019,1247,456985
Kent,Q1,2019,50,243500
Montgomery,Q1,2019,2946,450000
Prince George's,Q1,2019,2342,332000
Queen Anne's,Q1,2019,191,345000
St. Mary's,Q1,2019,447,288988
Somerset,Q1,2019,29,135000
Talbot,Q1,2019,138,293000
Washington,Q1,2019,468,225000
Wicomico,Q1,2019,264,176250
Worcester,Q1,2019,163,245900
Allegany,Q2,2019,87,118500
Anne Arundel,Q2,2019,1831,355000
Baltimore City,Q2,2019,1013,175000
Baltimore,Q2,2019,2081,259900
Calvert,Q2,2019,242,341250
Caroline,Q2,2019,57,210000
Carroll,Q2,2019,463,325000
Cecil,Q2,2019,300,239030
Charles,Q2,2019,552,325000
Dorchester,Q2,2019,64,174000
Frederick,Q2,2019,1121,343000
Garrett,Q2,2019,34,162500
Harford,Q2,2019,821,267500
Howard,Q2,2019,912,441508
Kent,Q2,2019,36,212500
Montgomery,Q2,2019,2332,445000
Prince George's,Q2,2019,2349,327000
Queen Anne's,Q2,2019,180,335000
St. Mary's,Q2,2019,290,294000
Somerset,Q2,2019,38,143250
Talbot,Q2,2019,93,329000
Washington,Q2,2019,335,220000
Wicomico,Q2,2019,216,175000
Worcester,Q2,2019,150,236000
Allegany,Q3,2019,62,112700
Anne Arundel,Q3,2019,1680,346588
Baltimore City,Q3,2019,1084,160000
Baltimore,Q3,2019,1745,260000
Calvert,Q3,2019,214,319000
Caroline,Q3,2019,55,189900
Carroll,Q3,2019,348,330000
Cecil,Q3,2019,210,219900
Charles,Q3,2019,532,327713
Dorchester,Q3,2019,50,179450
Frederick,Q3,2019,910,343341
Garrett,Q3,2019,17,150000
Harford,Q3,2019,718,270000
Howard,Q3,2019,719,429000
Kent,Q3,2019,26,207000
Montgomery,Q3,2019,1891,437000
Prince George's,Q3,2019,2008,325000
